time,tags,id,score,temp C,x mm,y mm
11:08.5,sighter/incomplete,S1,4,21,231,-249
11:11.2,sighter,S2,5,20,-148,63
11:13.3,incomplete,1,6,20,-64,-65
11:15.5,incomplete,2,6,20,76,35
11:17.3,incomplete,3,6,20,42,56
11:21.4,,4,X,21,43,-46
11:24.2,,5,X,21,15,28
11:26.4,incomplete,6,6,21,48,-108
11:29.5,incomplete,7,5,21,58,-121
11:31.6,incomplete,8,5,21,144,49
11:34.5,,9,5,20,-13,180
11:36.5,incomplete,10,6,20,9,124
